当前为第1条语料。
青 B-LOC
母 O
花 O
岗 O
岩 O
, O
燕 O
山 O
晚 O
期 O
有 O
闪 O
长 O
岩 O
、 O
辉 O
绿 O
岩 O
等 O
次 O
火 O
山 O
岩 O
脉 O
侵 O
入 O
。 O
﻿

当前为第9条语料。
在 O
空 O
间 O
上 O
除 O
晚 O
侏 O
罗 O
世 O
次 O
火 O
山 O
岩 O
分 O
布 O
外 O
, O
侵 O
入 O
岩 O
多 O
呈 O
小 O
岩 O
株 O
、 O
岩 O
脉 O
零 O
星 O
散 O
布 O
于 O
全 O
区 O
, O
次 O
火 O
山 O
岩 O
多 O
沿 O
区 O
域 O
断 O
裂 O
构 O
造 O
或 O
环 O
状 O
、 O
放 O
射 O
状 O
断 O
裂 O
侵 O
入 O
, O
呈 O
脉 O
状 O
或 O
小 O
岩 O
瘤 O
( O
株 O
) O
状 O
产 O
出 O
, O
与 O
铜 O
金 O
矿 O
成 O
矿 O
关 O
系 O
密 O
切 O
。 O
﻿

当前为第10条语料，且该条语料无标注实体。
区 O
内 O
铜 O
金 O
矿 O
与 O
次 O
火 O
山 O
岩 O
脉 O
在 O
时 O
空 O
分 O
布 O
上 O
息 O
息 O
相 O
关 O
, O
形 O
影 O
相 O
伴 O
, O
存 O
在 O
成 O
因 O
联 O
系 O
。 O
﻿

当前为第11条语料。
( O
3 O
) O
区 O
域 O
断 O
裂 O
构 O
造 O
控 O
制 O
金 B-MT
矿 I-MT
床 I-MT
( O
点 O
) O
的 O
分 O
布 O
。 O
﻿

当前为第12条语料。
区 O
内 O
自 O
海 O
西 O
- O
印 O
支 O
期 O
以 O
来 O
先 O
后 O
形 O
成 O
了 O
近 O
E O
W O
向 O
、 O
N O
W O
向 O
、 O
N O
E O
向 O
等 O
3 O
组 O
不 O
同 O
方 O
向 O
的 O
断 O
裂 O
构 O
造 O
。 O
﻿

当前为第13条语料。
构 O
造 O
形 O
迹 O
表 O
现 O
最 O
为 O
明 O
显 O
的 O
是 O
N O
E O
向 O
及 O
N O
W O
向 O
断 O
裂 O
, O
这 O
两 O
组 O
断 O
裂 O
带 O
倾 O
角 O
较 O
陡 O
, O
切 O
穿 O
中 O
生 O
代 O
火 O
山 O
岩 O
盖 O
层 O
直 O
达 O
基 O
底 O
变 O
质 O
岩 O
系 O
, O
并 O
控 O
制 O
了 O
燕 O
山 O
期 O
酸 O
性 O
次 O
火 O
山 O
岩 O
、 O
浅 O
成 O
岩 O
脉 O
分 O
布 O
, O
具 O
有 O
控 O
矿 O
作 O
用 O
。 O
﻿

当前为第14条语料。
区 O
内 O
出 O
露 O
的 O
地 O
层 O
有 O
前 O
震 O
旦 O
系 O
马 O
面 O
山 O
群 O
、 O
上 O
侏 O
罗 O
统 O
长 O
林 O
组 O
和 O
南 O
园 O
组 O
。 O
﻿

当前为第15条语料。
前 O
震 O
旦 O
系 O
马 O
面 O
山 O
群 O
( O
P O
t O
2 O
- O
3 O
m O
) O
: O
主 O
要 O
分 O
布 O
在 O
工 O
作 O
区 O
东 O
部 O
、 O
中 O
部 O
、 O
原 O
岩 O
为 O
一 O
套 O
含 O
硅 O
铁 O
- O
碳 O
质 O
火 O
山 O
碎 O
屑 O
沉 O
积 O
建 O
造 O
, O
岩 O
性 O
为 O
灰 O
- O
灰 O
绿 O
色 O
云 O
母 O
石 O
英 O
片 O
岩 O
、 O
云 O
母 O
变 O
粒 O
岩 O
夹 O
中 O
厚 O
层 O
状 O
云 O
母 O
石 O
英 O
片 O
岩 O
, O
片 O
岩 O
多 O
呈 O
中 O
薄 O
层 O
状 O
, O
片 O
理 O
发 O
育 O
, O
沿 O
片 O
理 O
常 O
见 O
石 O
英 O
呈 O
透 O
镜 O
状 O
贯 O
入 O
, O
与 O
成 O
矿 O
关 O
系 O
密 O
切 O
。 O
﻿

当前为第16条语料。
上 O
侏 O
罗 O
统 O
长 O
林 O
组 O
( O
J O
3 O
c O
) O
: O
区 O
内 O
广 O
泛 O
分 O
布 O
, O
为 O
陆 O
相 O
山 O
间 O
盆 O
地 O
和 O
湖 O
泊 O
相 O
沉 O
积 O
, O
上 O
部 O
为 O
灰 O
白 O
- O
青 O
灰 O
色 O
中 O
粒 O
石 O
英 O
砂 O
岩 O
、 O
含 O
砾 O
石 O
英 O
粗 O
砂 O
岩 O
。 O
﻿

当前为第17条语料，且该条语料无标注实体。
下 O
部 O
为 O
灰 O
紫 O
色 O
凝 O
灰 O
质 O
砂 O
岩 O
、 O
含 O
砾 O
石 O
英 O
砂 O
岩 O
、 O
浅 O
变 O
质 O
粉 O
砂 O
岩 O
, O
夹 O
石 O
英 O
砾 O
岩 O
, O
复 O
成 O
分 O
砂 O
砾 O
岩 O
, O
局 O
部 O
地 O
段 O
夹 O
英 O
安 O
质 O
晶 O
屑 O
凝 O
灰 O
熔 O
岩 O
, O
局 O
部 O
为 O
薄 O
层 O
泥 O
质 O
粉 O
砂 O
岩 O
。 O
﻿

当前为第18条语料，且该条语料无标注实体。
与 O
下 O
伏 O
马 O
面 O
山 O
群 O
多 O
呈 O
不 O
整 O
合 O
或 O
断 O
层 O
接 O
触 O
。 O
﻿

当前为第19条语料，且该条语料无标注实体。
本 O
套 O
地 O
层 O
含 O
水 O
性 O
好 O
, O
透 O
水 O
性 O
、 O
孔 O
隙 O
率 O
高 O
, O
节 O
理 O
裂 O
隙 O
发 O
育 O
, O
为 O
区 O
内 O
重 O
要 O
的 O
赋 O
矿 O
层 O
位 O
。 O
﻿

当前为第20条语料。
南 O
园 O
组 O
( O
J O
3 O
n O
) O
: O
仅 O
出 O
露 O
在 O
矿 O
区 O
的 O
北 O
西 O
角 O
, O
范 O
围 O
小 O
, O
喷 O
发 O
不 O
整 O
合 O
盖 O
于 O
长 O
林 O
组 O
地 O
层 O
之 O
上 O
。 O
﻿

当前为第21条语料，且该条语料无标注实体。
岩 O
性 O
主 O
要 O
为 O
灰 O
紫 O
、 O
紫 O
红 O
色 O
流 O
纹 O
质 O
晶 O
屑 O
凝 O
灰 O
岩 O
、 O
英 O
安 O
岩 O
、 O
英 O
安 O
质 O
晶 O
屑 O
凝 O
灰 O
岩 O
、 O
凝 O
灰 O
岩 O
等 O
。 O
﻿

当前为第22条语料，且该条语料无标注实体。
区 O
内 O
岩 O
浆 O
侵 O
入 O
活 O
动 O
频 O
繁 O
, O
具 O
期 O
次 O
多 O
、 O
岩 O
性 O
种 O
类 O
多 O
、 O
规 O
模 O
不 O
一 O
等 O
分 O
布 O
特 O
点 O
。 O
﻿

当前为第23条语料。
其 O
中 O
海 O
西 O
- O
印 O
支 O
期 O
片 O
麻 O
状 O
石 O
英 O
闪 O
长 O
岩 O
为 O
主 O
要 O
侵 O
入 O
岩 O
, O
而 O
燕 O
山 O
期 O
基 O
性 O
- O
酸 O
性 O
脉 O
岩 O
次 O
之 O
。 O
﻿

当前为第24条语料。
分 O
布 O
于 O
矿 O
区 O
东 O
部 O
的 O
岩 O
株 O
状 O
海 O
西 O
- O
印 O
支 O
期 O
石 O
英 O
闪 O
长 O
岩 O
呈 O
灰 O
绿 O
色 O
, O
变 O
质 O
后 O
呈 O
肉 O
红 O
色 O
、 O
浅 O
黄 O
色 O
, O
片 O
麻 O
理 O
发 O
育 O
。 O
﻿

当前为第25条语料，且该条语料无标注实体。
岩 O
石 O
普 O
遍 O
见 O
有 O
黄 O
铁 O
矿 O
化 O
、 O
绿 O
泥 O
石 O
化 O
、 O
高 O
岭 O
土 O
化 O
。 O
﻿

当前为第26条语料。
岩 O
体 O
内 O
外 O
接 O
触 O
带 O
及 O
后 O
期 O
岩 O
脉 O
发 O
育 O
处 O
常 O
见 O
有 O
绢 B-MA
云 I-MA
母 I-MA
化 I-MA
, O
蚀 O
变 O
强 O
烈 O
地 O
段 O
变 O
成 O
脉 O
状 O
及 O
团 O
块 O
状 O
的 O
绢 O
云 O
母 O
。 O
﻿

当前为第27条语料，且该条语料无标注实体。
岩 O
体 O
与 O
马 O
面 O
山 O
群 O
地 O
层 O
接 O
触 O
带 O
附 O
近 O
见 O
有 O
金 O
、 O
铜 O
矿 O
化 O
。 O
﻿

当前为第28条语料，且该条语料无标注实体。
区 O
内 O
脉 O
岩 O
发 O
育 O
, O
主 O
要 O
有 O
石 O
英 O
斑 O
岩 O
、 O
辉 O
绿 O
玢 O
岩 O
、 O
二 O
长 O
斑 O
岩 O
、 O
石 O
英 O
脉 O
等 O
。 O
﻿

当前为第29条语料，且该条语料无标注实体。
区 O
内 O
断 O
裂 O
、 O
裂 O
隙 O
发 O
育 O
, O
N O
W O
向 O
( O
F O
3 O
) O
、 O
N O
E O
E O
向 O
( O
F O
3 O
4 O
, O
F O
3 O
5 O
, O
F O
3 O
6 O
, O
F O
3 O
7 O
) O
及 O
S O
N O
向 O
( O
F O
3 O
8 O
) O
3 O
组 O
断 O
裂 O
构 O
成 O
了 O
区 O
内 O
“ O
棋 O
盘 O
格 O
式 O
” O
构 O
造 O
框 O
架 O
。 O
﻿

当前为第30条语料，且该条语料无标注实体。
( O
1 O
) O
N O
W O
向 O
( O
F O
3 O
) O
断 O
裂 O
。 O
﻿

当前为第31条语料，且该条语料无标注实体。
该 O
组 O
断 O
裂 O
明 O
显 O
具 O
有 O
多 O
期 O
次 O
活 O
动 O
迹 O
象 O
, O
总 O
体 O
表 O
现 O
为 O
先 O
压 O
后 O
张 O
的 O
性 O
质 O
。 O
﻿

当前为第32条语料，且该条语料无标注实体。
断 O
裂 O
具 O
有 O
控 O
矿 O
作 O
用 O
, O
其 O
低 O
序 O
次 O
的 O
N O
E O
向 O
构 O
造 O
是 O
主 O
要 O
容 O
矿 O
构 O
造 O
。 O
﻿

当前为第33条语料。
N O
W O
向 O
断 O
裂 O
直 O
接 O
控 O
制 O
着 O
矿 O
区 O
Ⅰ B-MB
号 I-MB
矿 I-MB
体 I-MB
的 O
一 O
系 O
列 O
N O
E O
向 O
小 O
矿 O
脉 O
群 O
及 O
Ⅴ O
号 O
矿 O
体 O
的 O
成 O
生 O
和 O
分 O
布 O
。 O
﻿

当前为第34条语料，且该条语料无标注实体。
( O
2 O
) O
N O
E O
- O
N O
N O
E O
向 O
断 O
裂 O
。 O
﻿

当前为第35条语料，且该条语料无标注实体。
该 O
组 O
断 O
裂 O
发 O
育 O
于 O
整 O
个 O
矿 O
段 O
, O
由 O
一 O
系 O
列 O
近 O
平 O
行 O
、 O
规 O
模 O
不 O
等 O
的 O
断 O
裂 O
构 O
成 O
, O
具 O
有 O
规 O
模 O
较 O
大 O
、 O
矿 O
化 O
蚀 O
变 O
强 O
烈 O
等 O
特 O
点 O
。 O
﻿

当前为第36条语料，且该条语料无标注实体。
断 O
裂 O
内 O
岩 O
石 O
破 O
碎 O
, O
局 O
部 O
构 O
成 O
构 O
造 O
角 O
砾 O
岩 O
。 O
﻿

当前为第37条语料。
断 O
裂 O
及 O
旁 O
侧 O
围 O
岩 O
常 O
出 O
现 O
较 O
强 O
的 O
硅 B-MA
化 I-MA
、 O
绢 B-MA
云 I-MA
母 I-MA
化 I-MA
、 O
黄 B-MA
铁 I-MA
矿 I-MA
化 I-MA
, O
绿 B-MA
泥 I-MA
石 I-MA
化 I-MA
等 O
蚀 O
变 O
及 O
铜 O
金 O
矿 O
化 O
, O
可 O
见 O
由 O
黄 B-MA
铁 I-MA
矿 I-MA
化 I-MA
硅 B-MA
化 I-MA
构 O
造 O
角 O
砾 O
岩 O
、 O
黄 O
铁 O
绢 O
英 O
岩 O
和 O
铜 O
金 O
矿 O
( O
化 O
) O
体 O
等 O
构 O
成 O
的 O
含 O
矿 O
构 O
造 O
破 O
碎 O
蚀 O
变 O
带 O
。 O
﻿

当前为第38条语料。
N O
E O
- O
N O
N O
E O
向 O
断 O
裂 O
为 O
容 O
矿 O
构 O
造 O
, O
Ⅱ B-MB
, O
Ⅲ B-MB
, O
Ⅵ B-MB
号 I-MB
铜 B-MT
金 I-MT
矿 I-MT
体 I-MT
产 O
于 O
其 O
中 O
。 O
( O
3 O
) O
近 O
S O
N O
向 O
( O
F O
3 O
8 O
) O
构 O
造 O
破 O
碎 O
带 O
。 O
其 O
北 O
段 O
表 O
现 O
为 O
马 O
面 O
山 O
群 O
中 O
顺 O
层 O
发 O
育 O
的 O
构 O
造 O
破 O
碎 O
带 O
, O
带 O
内 O
及 O
围 O
岩 O
常 O
见 O
黄 B-MA
铁 I-MA
矿 I-MA
化 I-MA
、 O
硅 B-MA
化 I-MA
和 O
绢 B-MA
云 I-MA
母 I-MA
化 I-MA
现 O
象 O
。 O
﻿

当前为第39条语料。
南 O
段 O
则 O
穿 O
切 O
石 O
英 O
闪 O
长 O
岩 O
, O
带 O
内 O
见 O
辉 O
绿 O
玢 O
岩 O
脉 O
发 O
育 O
, O
强 O
烈 O
的 O
黄 B-MA
铁 I-MA
矿 I-MA
化 I-MA
、 O
硅 B-MA
化 I-MA
、 O
绢 B-MA
云 I-MA
母 I-MA
化 I-MA
和 O
铜 O
金 O
矿 O
化 O
极 O
为 O
普 O
遍 O
, O
Ⅳ B-MB
号 I-MB
矿 I-MB
体 I-MB
即 O
赋 O
存 O
于 O
南 O
段 O
破 O
碎 O
蚀 O
变 O
带 O
内 O
。 O
本 O
区 O
断 O
裂 O
构 O
造 O
是 O
最 O
为 O
主 O
要 O
的 O
控 O
矿 O
因 O
素 O
, O
它 O
们 O
主 O
要 O
活 O
动 O
期 O
与 O
本 O
区 O
铜 O
金 O
主 O
矿 O
化 O
期 O
相 O
近 O
, O
为 O
燕 O
山 O
晚 O
期 O
。 O
矿 O
区 O
共 O
圈 O
定 O
6 O
个 O
工 O
业 O
铜 B-MT
金 I-MT
矿 I-MT
体 I-MT
, O
编 O
号 O
为 O
Ⅰ B-MB
— O
Ⅳ B-MB
号 I-MB
, O
各 O
矿 O
体 O
均 O
明 O
显 O
受 O
断 O
裂 O
及 O
构 O
造 O
蚀 O
变 O
带 O
控 O
制 O
, O
除 O
Ⅰ B-MB
号 I-MB
矿 I-MB
体 I-MB
为 O
石 O
英 O
脉 O
型 O
外 O
, O
其 O
余 O
皆 O
属 O
构 O
造 O
破 O
碎 O
带 O
蚀 O
变 O
岩 O
型 O
铜 B-MT
金 I-MT
矿 I-MT
体 I-MT
( O
图 O
1 O
) O
。 O
﻿

当前为第40条语料。
( O
1 O
) O
石 O
英 O
脉 O
型 O
金 B-MT
矿 I-MT
体 I-MT
。 O
仅 O
Ⅰ B-MB
号 I-MB
矿 I-MB
体 I-MB
属 O
之 O
, O
Ⅰ O
1 O
— O
Ⅰ O
1 O
2 O
共 O
1 O
2 O
条 O
金 O
矿 O
脉 O
构 O
成 O
, O
矿 O
体 O
总 O
体 O
受 O
F O
3 O
断 O
裂 O
控 O
制 O
, O
但 O
各 O
单 O
脉 O
则 O
严 O
格 O
赋 O
存 O
于 O
F O
3 O
- O
1 O
和 O
F O
3 O
- O
2 O
断 O
裂 O
间 O
的 O
一 O
组 O
N O
E O
- O
N O
N O
E O
向 O
次 O
级 O
构 O
造 O
裂 O
隙 O
中 O
, O
各 O
矿 O
脉 O
均 O
由 O
一 O
系 O
列 O
密 O
集 O
成 O
带 O
出 O
现 O
的 O
黄 O
铁 O
矿 O
化 O
含 O
金 O
石 O
英 O
细 O
脉 O
、 O
网 O
脉 O
带 O
构 O
成 O
, O
其 O
顶 O
底 O
板 O
为 O
长 O
林 O
组 O
石 O
英 O
砂 O
砾 O
岩 O
、 O
含 O
砾 O
砂 O
岩 O
夹 O
碳 O
质 O
泥 O
岩 O
, O
矿 O
脉 O
东 O
西 O
两 O
端 O
分 O
别 O
为 O
石 O
英 O
斑 O
岩 O
脉 O
和 O
长 O
林 O
组 O
含 O
砾 O
砂 O
岩 O
和 O
含 O
碳 O
质 O
泥 O
岩 O
夹 O
层 O
所 O
限 O
制 O
。 O
( O
2 O
) O
破 O
碎 O
带 O
蚀 O
变 O
岩 O
型 O
铜 B-MT
金 I-MT
矿 I-MT
体 I-MT
。 O
﻿

当前为第41条语料。
Ⅱ B-MB
— I-MB
Ⅵ I-MB
号 I-MB
矿 I-MB
体 I-MB
均 O
属 O
该 O
类 O
型 O
, O
Ⅱ B-MB
, O
Ⅲ B-MB
号 I-MB
矿 I-MB
体 I-MB
赋 O
存 O
于 O
N O
E O
- O
N O
E O
E O
向 O
F O
3 O
4 O
和 O
F O
3 O
6 O
断 O
裂 O
中 O
, O
Ⅳ B-MB
, O
Ⅴ B-MB
号 I-MB
矿 I-MB
体 I-MB
产 O
于 O
N O
W O
向 O
F O
3 O
与 O
N O
E O
向 O
F O
3 O
6 O
断 O
裂 O
交 O
汇 O
部 O
位 O
南 O
东 O
侧 O
的 O
次 O
级 O
N O
N O
W O
- O
近 O
S O
N O
向 O
断 O
裂 O
中 O
。 O
﻿

当前为第42条语料。
Ⅵ B-MB
号 I-MB
矿 I-MB
体 I-MB
则 O
以 O
缓 B-GO
倾 I-GO
似 O
层 O
状 O
分 O
布 O
于 O
矿 O
区 O
东 O
部 O
的 O
长 O
林 O
组 O
与 O
南 O
园 O
组 O
地 O
层 O
不 O
整 O
合 O
面 O
- O
断 O
裂 O
蚀 O
变 O
带 O
中 O
, O
矿 O
体 O
为 O
透 O
镜 O
状 O
、 O
脉 O
状 O
或 O
似 O
层 O
状 O
, O
产 O
状 O
随 O
着 O
断 O
裂 O
变 O
化 O
。 O
﻿

当前为第43条语料，且该条语料无标注实体。
矿 O
体 O
厚 O
度 O
及 O
矿 O
石 O
品 O
位 O
往 O
往 O
伴 O
随 O
断 O
裂 O
的 O
舒 O
张 O
或 O
闭 O
合 O
等 O
局 O
部 O
力 O
学 O
性 O
质 O
及 O
产 O
状 O
变 O
化 O
而 O
变 O
。 O
﻿

当前为第44条语料，且该条语料无标注实体。
C O
u O
, O
A O
u O
紧 O
密 O
相 O
伴 O
产 O
出 O
, O
总 O
体 O
呈 O
现 O
上 O
金 O
下 O
铜 O
的 O
垂 O
向 O
矿 O
化 O
分 O
带 O
规 O
律 O
。 O
﻿

当前为第45条语料，且该条语料无标注实体。
各 O
矿 O
体 O
顶 O
底 O
板 O
随 O
其 O
容 O
矿 O
断 O
裂 O
穿 O
切 O
“ O
层 O
位 O
” O
的 O
不 O
同 O
而 O
有 O
所 O
差 O
异 O
, O
主 O
要 O
有 O
云 O
母 O
石 O
英 O
片 O
岩 O
、 O
石 O
英 O
闪 O
长 O
岩 O
、 O
含 O
砾 O
石 O
英 O
砂 O
岩 O
、 O
复 O
成 O
分 O
砾 O
岩 O
等 O
, O
但 O
因 O
近 O
矿 O
围 O
岩 O
蚀 O
变 O
较 O
为 O
强 O
烈 O
, O
故 O
而 O
岩 O
石 O
表 O
现 O
出 O
完 O
整 O
、 O
坚 O
硬 O
的 O
物 O
理 O
状 O
态 O
。 O
﻿

当前为第46条语料，且该条语料无标注实体。
矿 O
区 O
各 O
矿 O
体 O
( O
脉 O
) O
地 O
质 O
特 O
征 O
参 O
见 O
表 O
1 O
。 O
﻿

当前为第47条语料。
青 B-LOC
云 I-LOC
山 I-LOC
铜 B-MT
金 I-MT
矿 I-MT
为 O
次 O
火 O
山 O
低 O
温 O
热 O
液 O
矿 O
床 O
, O
该 O
类 O
型 O
矿 O
床 O
中 O
的 O
矿 O
、 O
热 O
、 O
水 O
“ O
三 O
源 O
” O
是 O
必 O
要 O
条 O
件 O
。 O
( O
1 O
) O
矿 O
源 O
层 O
( O
岩 O
) O
: O
中 O
上 O
元 O
古 O
界 O
马 O
面 O
山 O
群 O
变 O
质 O
岩 O
的 O
原 O
岩 O
为 O
硅 O
铁 O
- O
碳 O
质 O
火 O
山 O
碎 O
屑 O
沉 O
积 O
建 O
造 O
, O
其 O
中 O
的 O
金 O
丰 O
度 O
较 O
高 O
, O
可 O
视 O
作 O
矿 O
区 O
的 O
矿 O
源 O
层 O
。 O
变 O
质 O
岩 O
中 O
的 O
成 O
矿 O
元 O
素 O
在 O
一 O
定 O
条 O
件 O
下 O
会 O
活 O
化 O
, O
迁 O
移 O
、 O
富 O
集 O
, O
在 O
适 O
合 O
的 O
空 O
间 O
中 O
形 O
成 O
矿 O
体 O
。 O
﻿

当前为第48条语料，且该条语料无标注实体。
( O
2 O
) O
水 O
源 O
: O
长 O
林 O
组 O
为 O
一 O
套 O
巨 O
厚 O
层 O
中 O
粗 O
粒 O
碎 O
屑 O
沉 O
积 O
岩 O
, O
南 O
园 O
组 O
为 O
复 O
成 O
分 O
角 O
砾 O
岩 O
, O
这 O
些 O
岩 O
层 O
含 O
水 O
性 O
、 O
透 O
水 O
性 O
良 O
好 O
, O
成 O
矿 O
的 O
水 O
源 O
应 O
来 O
自 O
这 O
些 O
岩 O
层 O
。 O
﻿

当前为第49条语料，且该条语料无标注实体。
( O
3 O
) O
热 O
源 O
: O
该 O
矿 O
体 O
附 O
近 O
出 O
露 O
有 O
英 O
安 O
斑 O
岩 O
, O
钻 O
孔 O
中 O
可 O
见 O
大 O
量 O
辉 O
绿 O
玢 O
岩 O
, O
这 O
些 O
岩 O
脉 O
在 O
空 O
间 O
上 O
与 O
矿 O
体 O
紧 O
密 O
伴 O
生 O
, O
为 O
成 O
矿 O
的 O
直 O
接 O
热 O
源 O
。 O
﻿

当前为第50条语料，且该条语料无标注实体。
在 O
成 O
矿 O
期 O
, O
这 O
种 O
热 O
能 O
可 O
使 O
流 O
体 O
( O
包 O
括 O
各 O
种 O
水 O
) O
升 O
温 O
, O
并 O
与 O
岩 O
石 O
发 O
生 O
水 O
/ O
岩 O
反 O
应 O
, O
形 O
成 O
富 O
含 O
大 O
气 O
降 O
水 O
的 O
成 O
矿 O
热 O
液 O
。 O
﻿

当前为第51条语料，且该条语料无标注实体。
( O
1 O
) O
N O
E O
向 O
、 O
N O
W O
向 O
和 O
E O
W O
向 O
断 O
裂 O
的 O
复 O
合 O
部 O
位 O
是 O
铜 O
金 O
成 O
矿 O
的 O
有 O
利 O
部 O
位 O
。 O
﻿

当前为第52条语料，且该条语料无标注实体。
( O
2 O
) O
石 O
英 O
闪 O
长 O
岩 O
中 O
辉 O
绿 O
岩 O
脉 O
成 O
带 O
发 O
育 O
地 O
段 O
及 O
石 O
英 O
脉 O
发 O
育 O
地 O
段 O
、 O
岩 O
体 O
与 O
地 O
层 O
的 O
接 O
触 O
带 O
附 O
近 O
是 O
成 O
矿 O
的 O
有 O
利 O
地 O
段 O
。 O
﻿

当前为第53条语料。
( O
3 O
) O
上 O
元 O
古 O
界 O
马 O
面 O
山 O
群 O
与 O
上 O
覆 O
地 O
层 O
的 O
不 O
整 O
合 O
面 O
及 O
其 O
附 O
近 O
的 O
破 O
碎 O
带 O
是 O
找 O
矿 O
有 O
利 O
地 O
段 O
。 O
﻿

当前为第54条语料，且该条语料无标注实体。
( O
4 O
) O
前 O
人 O
遗 O
留 O
下 O
来 O
的 O
采 O
坑 O
、 O
老 O
硐 O
是 O
本 O
区 O
的 O
直 O
接 O
找 O
矿 O
标 O
志 O
。 O
﻿

当前为第55条语料。
( O
5 O
) O
强 O
烈 O
硅 B-MA
化 I-MA
、 O
绢 B-MA
云 I-MA
母 I-MA
化 I-MA
、 O
黄 B-MA
铁 I-MA
矿 I-MA
化 I-MA
、 O
钾 B-MA
长 I-MA
石 I-MA
化 I-MA
、 O
绿 B-MA
泥 I-MA
石 I-MA
化 I-MA
、 O
绢 B-MA
云 I-MA
英 I-MA
化 I-MA
的 O
围 O
岩 O
蚀 O
变 O
地 O
段 O
是 O
找 O
矿 O
的 O
有 O
利 O
地 O
段 O
。 O
﻿

当前为第56条语料，且该条语料无标注实体。
( O
6 O
) O
化 O
探 O
的 O
A O
u O
- O
C O
u O
- O
A O
