当前为第1条语料。
庙 B-LOC
当前为第9条语料。
矿 O
区 O
东 O
部 O
3 O
条 O
大 O
致 O
平 O
行 O
, O
近 O
南 O
北 O
走 O
向 O
的 O
含 O
金 O
断 O
裂 O
F O
8 O
、 O
F O
9 O
、 O
F O
1 O
9 O
分 O
别 O
控 O
制 O
着 O
Ⅰ O
、 O
Ⅱ O
、 O
Ⅲ O
号 O
含 O
金 O
构 O
造 O
蚀 O
变 O
带 O
, O
工 O
业 O
矿 O
体 O
均 O
赋 O
存 O
其 O
中 O
。 O
﻿

当前为第10条语料。
矿 O
区 O
西 O
部 O
3 O
条 O
大 O
致 O
平 O
行 O
, O
走 O
向 O
近 O
南 O
北 O
的 O
F O
2 O
2 O
、 O
F O
1 O
6 O
1 O
、 O
F O
1 O
6 O
断 O
裂 O
构 O
造 O
与 O
东 O
部 O
南 O
北 O
向 O
断 O
裂 O
属 O
同 O
组 O
平 O
行 O
断 O
裂 O
, O
在 O
规 O
模 O
、 O
产 O
状 O
、 O
带 O
内 O
组 O
份 O
、 O
蚀 O
变 O
矿 O
化 O
特 O
征 O
等 O
方 O
面 O
均 O
可 O
类 O
比 O
, O
且 O
该 O
组 O
断 O
裂 O
地 O
表 O
及 O
浅 O
部 O
均 O
具 O
矿 B-MA
化 I-MA
迹 O
象 O
。 O
﻿

当前为第11条语料。
东 O
西 O
向 O
断 O
裂 O
为 O
破 O
矿 O
构 O
造 O
, O
但 O
东 O
西 O
向 O
断 O
裂 O
与 O
南 O
北 O
向 O
断 O
裂 O
相 O
交 O
部 O
位 O
及 O
其 O
附 O
近 O
往 O
往 O
形 O
成 O
富 O
而 O
厚 O
的 O
工 O
业 O
矿 O
体 O
。 O
﻿

当前为第12条语料，且该条语料无标注实体。
矿 O
区 O
白 O
土 O
尖 O
一 O
带 O
发 O
育 O
一 O
椭 O
圆 O
形 O
爆 O
发 O
相 O
火 O
山 O
口 O
, O
组 O
成 O
岩 O
石 O
为 O
流 O
纹 O
质 O
火 O
山 O
角 O
砾 O
岩 O
及 O
流 O
纹 O
质 O
凝 O
灰 O
岩 O
, O
长 O
轴 O
方 O
向 O
近 O
南 O
北 O
。 O
﻿

当前为第13条语料，且该条语料无标注实体。
主 O
成 O
矿 O
断 O
裂 O
F O
8 O
、 O
F O
9 O
、 O
F O
1 O
9 O
从 O
中 O
及 O
其 O
东 O
西 O
两 O
侧 O
通 O
过 O
, O
该 O
段 O
矿 O
体 O
富 O
而 O
厚 O
, O
见 O
图 O
1 O
所 O
示 O
。 O
﻿

当前为第14条语料。
庙 B-LOC
岭 I-LOC
金 B-MT
矿 I-MT
床 I-MT
属 O
破 B-MT
碎 I-MT
带 I-MT
蚀 I-MT
变 I-MT
岩 I-MT
型 I-MT
金 I-MT
矿 I-MT
床 I-MT
, O
其 O
矿 O
体 O
与 O
围 O
岩 O
界 O
线 O
不 O
清 O
。 O
Ⅰ B-MB
号 I-MB
矿 I-MB
带 I-MB
矿 I-MB
体 I-MB
形 O
态 O
复 O
杂 O
, O
呈 O
层 O
状 O
、 O
似 O
层 O
状 O
、 O
透 O
镜 O
状 O
或 O
不 O
规 O
则 O
状 O
, O
沿 O
走 O
向 O
及 O
倾 O
向 O
出 O
现 O
波 O
状 O
起 O
伏 O
及 O
尖 O
灭 O
再 O
现 O
, O
局 O
部 O
有 O
膨 O
大 O
狭 O
缩 O
、 O
分 O
支 O
复 O
合 O
、 O
被 O
东 O
西 O
向 O
断 O
层 O
错 O
断 O
的 O
现 O
象 O
。 O
Ⅱ B-MB
、 O
Ⅲ B-MB
号 I-MB
矿 I-MB
带 I-MB
矿 O
体 O
形 O
态 O
相 O
对 O
简 O
单 O
, O
呈 O
似 O
层 O
状 O
、 O
透 O
镜 O
状 O
、 O
沿 O
走 O
向 O
及 O
倾 O
向 O
出 O
现 O
波 O
状 O
起 O
伏 O
, O
局 O
部 O
有 O
膨 O
大 O
狭 O
缩 O
, O
被 O
东 O
西 O
向 O
断 O
层 O
错 O
断 O
现 O
象 O
不 O
明 O
显 O
。 O
﻿

当前为第15条语料。
Ⅰ O
号 O
矿 O
带 O
中 O
矿 O
体 O
规 O
模 O
最 B-SCA
大 I-SCA
, O
矿 O
体 O
走 O
向 O
长 O
4 O
8 O
0 O
～ O
2 O
3 O
0 O
0 O
m O
, O
斜 O
深 O
3 O
4 O
0 O
～ O
5 O
0 O
0 O
m O
, O
矿 O
体 O
厚 O
度 O
一 O
般 O
2 O
～ O
6 O
m O
, O
最 O
薄 O
0 O
. O
5 O
m O
, O
最 O
厚 O
可 O
达 O
2 O
0 O
m O
。 O
﻿

当前为第16条语料。
矿 O
体 O
走 O
向 O
近 O
南 O
北 O
, O
西 O
倾 O
, O
倾 O
角 O
地 O
表 O
较 B-GO
陡 I-GO
, O
为 O
4 B-GO
5 I-GO
～ I-GO
5 I-GO
5 I-GO
° I-GO
, O
向 O
下 O
逐 O
渐 O
变 O
缓 B-GO
为 O
2 B-GO
5 I-GO
～ I-GO
4 I-GO
0 I-GO
° I-GO
。 O
﻿

当前为第17条语料。
Ⅰ O
号 O
矿 O
带 O
中 O
, O
矿 O
体 O
在 O
地 O
表 O
局 O
部 O
地 O
段 O
有 O
无 O
矿 O
天 O
窗 O
, O
但 O
深 O
部 O
矿 O
体 O
连 O
续 O
且 O
矿 O
体 O
有 O
向 O
北 O
西 O
方 O
向 O
侧 O
伏 O
现 O
象 O
, O
侧 O
伏 O
角 O
3 B-GO
0 I-GO
～ I-GO
4 I-GO
0 I-GO
° I-GO
。 O
﻿

当前为第18条语料。
Ⅱ O
、 O
Ⅲ O
号 O
矿 O
带 O
中 O
矿 O
体 O
规 O
模 O
较 B-SCA
小 I-SCA
, O
走 O
向 O
长 O
1 O
6 O
0 O
～ O
3 O
4 O
0 O
m O
, O
斜 O
深 O
1 O
5 O
0 O
～ O
3 O
9 O
0 O
m O
, O
厚 O
度 O
0 O
. O
8 O
～ O
4 O
m O
, O
最 O
厚 O
6 O
. O
7 O
m O
, O
矿 O
体 O
走 O
向 O
为 O
南 O
北 O
向 O
, O
西 O
倾 O
, O
倾 O
角 O
4 B-GO
5 I-GO
～ I-GO
6 I-GO
0 I-GO
° I-GO
。 O
﻿

当前为第19条语料，且该条语料无标注实体。
Ⅰ O
、 O
Ⅱ O
、 O
Ⅲ O
号 O
矿 O
带 O
在 O
平 O
面 O
上 O
依 O
次 O
平 O
行 O
分 O
布 O
( O
见 O
图 O
1 O
) O
, O
在 O
剖 O
面 O
上 O
亦 O
大 O
致 O
平 O
行 O
分 O
布 O
( O
见 O
图 O
2 O
) O
。 O
﻿

当前为第20条语料，且该条语料无标注实体。
富 O
矿 O
体 O
主 O
要 O
赋 O
存 O
在 O
构 O
造 O
走 O
向 O
转 O
折 O
部 O
位 O
及 O
倾 O
向 O
上 O
倾 O
角 O
由 O
陡 O
变 O
缓 O
部 O
位 O
。 O
﻿

当前为第21条语料，且该条语料无标注实体。
南 O
北 O
向 O
和 O
东 O
西 O
向 O
断 O
裂 O
交 O
汇 O
部 O
位 O
及 O
其 O
附 O
近 O
。 O
﻿

当前为第22条语料，且该条语料无标注实体。
矿 O
体 O
膨 O
大 O
及 O
分 O
支 O
复 O
合 O
交 O
汇 O
部 O
位 O
。 O
﻿

当前为第23条语料，且该条语料无标注实体。
南 O
北 O
向 O
断 O
裂 O
与 O
火 O
山 O
机 O
构 O
重 O
合 O
部 O
位 O
。 O
﻿

当前为第24条语料。
矿 O
区 O
发 O
育 O
有 O
F O
8 O
、 O
F O
9 O
、 O
F O
1 O
9 O
、 O
F O
1 O
8 O
、 O
F O
1 O
7 O
、 O
F O
1 O
6 O
、 O
F O
1 O
6 O
1 O
、 O
F O
2 O
2 O
等 O
多 O
条 O
南 O
北 O
向 O
断 O
裂 O
, O
目 O
前 O
所 O
发 O
现 O
的 O
工 O
业 O
矿 O
体 O
均 O
赋 O
存 O
在 O
F O
8 O
、 O
F O
9 O
、 O
F O
1 O
9 O
等 O
南 O
北 O
向 O
断 O
裂 O
蚀 O
变 O
带 O
中 O
。 O
﻿

当前为第25条语料。
南 O
北 O
向 O
断 O
裂 O
( O
特 O
别 O
是 O
F O
8 O
、 O
F O
2 O
2 O
断 O
裂 O
) O
规 O
模 O
大 O
、 O
活 O
动 O
时 O
间 O
长 O
, O
形 O
成 O
数 O
米 O
到 O
数 O
十 O
米 O
宽 O
的 O
破 O
碎 O
带 O
, O
在 O
断 O
裂 O
带 O
内 O
均 O
有 O
矿 B-MA
化 I-MA
现 O
象 O
( O
金 B-MA
矿 I-MA
化 I-MA
、 O
黄 B-MA
铁 I-MA
矿 I-MA
化 I-MA
、 O
褐 B-MA
铁 I-MA
矿 I-MA
化 I-MA
) O
。 O
﻿

当前为第26条语料。
南 O
北 O
向 O
断 O
裂 O
在 O
中 O
元 O
古 O
熊 O
耳 O
期 O
即 O
已 O
形 O
成 O
, O
之 O
后 O
多 O
次 O
活 O
动 O
, O
到 O
燕 O
山 O
晚 O
期 O
, O
这 O
些 O
早 O
已 O
形 O
成 O
的 O
断 O
裂 O
又 O
进 O
行 O
活 O
动 O
, O
成 O
为 O
良 O
好 O
的 O
含 O
金 O
热 O
液 O
运 O
移 O
通 O
道 O
或 O
储 O
矿 O
空 O
间 O
, O
既 O
属 O
导 O
矿 O
构 O
造 O
又 O
属 O
容 O
矿 O
构 O
造 O
。 O
﻿

当前为第27条语料，且该条语料无标注实体。
矿 O
区 O
发 O
育 O
的 O
东 O
西 O
向 O
构 O
造 O
为 O
破 O
矿 O
构 O
造 O
, O
但 O
错 O
断 O
南 O
北 O
向 O
矿 O
体 O
的 O
距 O
离 O
很 O
小 O
, O
大 O
多 O
只 O
是 O
使 O
矿 O
体 O
扭 O
曲 O
。 O
﻿

当前为第28条语料，且该条语料无标注实体。
东 O
西 O
向 O
断 O
裂 O
的 O
活 O
动 O
, O
使 O
矿 O
液 O
再 O
次 O
运 O
移 O
富 O
集 O
, O
故 O
在 O
南 O
北 O
向 O
与 O
东 O
西 O
向 O
断 O
裂 O
相 O
交 O
部 O
位 O
及 O
其 O
附 O
近 O
反 O
而 O
形 O
成 O
富 O
而 O
厚 O
的 O
矿 O
体 O
。 O
﻿

当前为第29条语料。
矿 O
区 O
内 O
工 O
业 O
矿 O
体 O
均 O
赋 O
存 O
在 O
熊 O
耳 O
群 O
中 O
, O
该 O
套 O
火 O
山 O
岩 O
系 O
具 O
有 O
较 O
高 O
的 O
金 O
丰 O
度 O
值 O
( O
表 O
1 O
) O
, O
为 O
金 O
的 O
重 O
要 O
矿 O
源 O
层 O
。 O
﻿

当前为第30条语料。
庙 B-LOC
岭 I-LOC
金 B-MT
矿 I-MT
白 O
土 O
尖 O
一 O
带 O
发 O
育 O
有 O
椭 O
圆 O
形 O
爆 O
发 O
相 O
火 O
山 O
口 O
, O
此 O
段 O
赋 O
矿 O
岩 O
性 O
为 O
流 O
纹 O
质 O
火 O
山 O
角 O
砾 O
岩 O
及 O
流 O
纹 O
质 O
凝 O
灰 O
岩 O
, O
可 O
见 O
庙 B-LOC
岭 I-LOC
金 B-MT
矿 I-MT
床 I-MT
的 O
形 O
成 O
与 O
火 O
山 O
机 O
构 O
有 O
一 O
定 O
的 O
成 O
因 O
关 O
系 O
。 O
燕 O
山 O
晚 O
期 O
侵 O
入 O
的 O
合 O
峪 O
斑 O
状 O
二 O
长 O
花 O
岗 O
岩 O
体 O
为 O
金 O
的 O
再 O
活 O
化 O
、 O
再 O
迁 O
移 O
进 O
而 O
富 O
集 O
成 O
矿 O
提 O
供 O
了 O
必 O
要 O
的 O
热 O
源 O
和 O
热 O
液 O
, O
可 O
见 O
合 O
峪 O
花 O
岗 O
岩 O
体 O
与 O
金 O
矿 O
的 O
形 O
成 O
有 O
密 O
切 O
的 O
成 O
因 O
联 O
系 O
。 O
由 O
上 O
可 O
知 O
, O
庙 B-LOC
岭 I-LOC
金 B-MT
矿 I-MT
床 I-MT
的 O
形 O
成 O
有 O
多 O
阶 O
段 O
复 O
成 O
因 O
的 O
特 O
点 O
。 O
﻿

当前为第31条语料，且该条语料无标注实体。
从 O
白 O
土 O
尖 O
一 O
带 O
成 O
矿 O
特 O
征 O
看 O
, O
它 O
具 O
有 O
火 O
山 O
喷 O
发 O
气 O
水 O
热 O
液 O
成 O
矿 O
的 O
特 O
点 O
, O
但 O
成 O
矿 O
的 O
多 O
期 O
性 O
多 O
阶 O
段 O
又 O
反 O
映 O
其 O
具 O
有 O
岩 O
浆 O
热 O
液 O
成 O
矿 O
的 O
特 O
征 O
。 O
﻿

当前为第32条语料，且该条语料无标注实体。
结 O
合 O
矿 O
区 O
地 O
质 O
情 O
况 O
可 O
以 O
推 O
断 O
, O
该 O
矿 O
床 O
不 O
是 O
简 O
单 O
的 O
一 O
种 O
热 O
液 O
成 O
矿 O
, O
而 O
是 O
由 O
至 O
少 O
两 O
次 O
不 O
同 O
热 O
液 O
来 O
源 O
的 O
成 O
矿 O
作 O
用 O
叠 O
加 O
而 O
成 O
: O
熊 O
耳 O
期 O
的 O
火 O
山 O
喷 O
发 O
气 O
水 O
热 O
液 O
作 O
用 O
, O
使 O
金 O
初 O
次 O
富 O
集 O
, O
而 O
燕 O
山 O
晚 O
期 O
斑 O
状 O
二 O
长 O
花 O
岗 O
岩 O
浆 O
热 O
液 O
作 O
用 O
, O
使 O
金 O
再 O
次 O
活 O
化 O
, O
再 O
迁 O
移 O
, O
最 O
后 O
富 O
集 O
成 O
矿 O
。 O
﻿

当前为第33条语料。
( O
1 O
) O
从 O
地 O
质 O
图 O
上 O
看 O
, O
南 O
北 O
向 O
断 O
裂 O
是 O
该 O
区 O
主 O
要 O
含 O
矿 O
断 O
裂 O
, O
F O
2 O
2 O
、 O
F O
1 O
6 O
1 O
、 O
F O
1 O
6 O
与 O
主 O
成 O
矿 O
断 O
裂 O
F O
8 O
、 O
F O
9 O
、 O
F O
1 O
9 O
属 O
同 O
组 O
平 O
行 O
南 O
北 O
向 O
断 O
裂 O
带 O
, O
规 O
模 O
相 O
当 O
, O
特 O
征 O
类 O
似 O
, O
是 O
成 O
矿 O
有 O
利 O
地 O
带 O
, O
该 O
组 O
断 O
裂 O
有 O
很 O
好 O
的 O
找 O
矿 O
前 O
景 O
。 O
﻿

当前为第34条语料。
( O
2 O
) O
南 O
北 O
向 O
与 O
东 O
西 O
向 O
断 O
裂 O
交 O
汇 O
部 O
位 O
及 O
其 O
附 O
近 O
是 O
成 O
矿 O
有 O
利 O
位 O
置 O
。 O
﻿

当前为第35条语料。
( O
3 O
) O
古 O
火 O
山 O
机 O
构 O
及 O
其 O
边 O
缘 O
断 O
裂 O
是 O
成 O
矿 O
的 O
有 O
利 O
部 O
位 O
。 O
﻿

当前为第36条语料，且该条语料无标注实体。
二 O
者 O
重 O
合 O
部 O
位 O
是 O
寻 O
找 O
富 O
矿 O
体 O
的 O
有 O
利 O
位 O
置 O
。 O
﻿

当前为第37条语料，且该条语料无标注实体。
( O
4 O
) O
南 O
北 O
向 O
断 O
裂 O
在 O
走 O
向 O
追 O
踪 O
转 O
折 O
或 O
沿 O
倾 O
向 O
由 O
陡 O
变 O
缓 O
部 O
位 O
是 O
有 O
利 O
的 O
储 O
矿 O
空 O
间 O
, O
也 O
是 O
寻 O
找 O
富 O
矿 O
体 O
的 O
最 O
有 O
利 O
部 O
位 O
。 O
﻿

当前为第38条语料。
( O
5 O
) O
断 O
裂 O
构 O
造 O
膨 O
大 O
或 O
分 O
支 O
复 O
合 O
的 O
交 O
汇 O
部 O
位 O
是 O
成 O
矿 O
的 O
有 O
利 O
位 O
置 O
。 O
﻿

当前为第39条语料。
( O
6 O
) O
硅 B-MA
化 I-MA
、 O
黄 B-MA
铁 I-MA
矿 I-MA
化 I-MA
、 O
碳 B-MA
酸 I-MA
盐 I-MA
化 I-MA
、 O
绢 B-MA
云 I-MA
母 I-MA
化 I-MA
等 O
热 O
液 O
蚀 O
变 O
带 O
及 O
褐 B-MA
铁 I-MA
矿 I-MA
化 I-MA
、 O
赤 B-MA
铁 I-MA
矿 I-MA
化 I-MA
等 O
地 O
表 O
氧 O
化 O
带 O
可 O
作 O
为 O
地 O
质 O
找 O
矿 O
的 O
直 O
接 O
标 O
志 O
。 O
﻿

当前为第40条语料。
( O
7 O
) O
根 O
据 O
Ⅰ O
号 O
矿 O
带 O
中 O
矿 O
体 O
在 O
地 O
表 O
局 O
部 O
地 O
段 O
有 O
无 O
矿 O
天 O
窗 O
而 O
深 O
部 O
连 O
续 O
及 O
矿 O
体 O
有 O
向 O
北 O
西 O
侧 O
伏 O
的 O
现 O
象 O
, O
由 O
已 O
知 O
矿 O
体 O
推 O
测 O
和 O
寻 O
找 O
盲 O
矿 O
体 O
。 O
庙 B-LOC
岭 I-LOC
金 B-MT
矿 I-MT
床 I-MT
地 O
质 O
特 O
征 O
及 O
找 O
矿 O
方 O
向 O
。 O
