当前为第1条语料。
小 B-LOC
色 O
薄 O
层 O
状 O
粉 O
砂 O
质 O
灰 O
岩 O
。 O
﻿

当前为第23条语料。
矿 O
区 O
构 O
造 O
包 O
括 O
褶 O
皱 O
构 O
造 O
与 O
断 O
裂 O
构 O
造 O
。 O
﻿

当前为第24条语料，且该条语料无标注实体。
⑴ O
褶 O
皱 O
构 O
造 O
: O
指 O
小 O
东 O
沟 O
次 O
级 O
倒 O
转 O
紧 O
闭 O
背 O
斜 O
, O
该 O
背 O
斜 O
北 O
翼 O
倒 O
转 O
, O
南 O
翼 O
正 O
常 O
, O
走 O
向 O
北 O
东 O
, O
轴 O
面 O
倾 O
向 O
南 O
东 O
, O
核 O
部 O
地 O
层 O
为 O
D O
2 O
a O
2 O
- O
1 O
a O
, O
其 O
虚 O
脱 O
部 O
位 O
为 O
有 O
利 O
的 O
容 O
矿 O
场 O
所 O
。 O
﻿

当前为第25条语料，且该条语料无标注实体。
两 O
翼 O
地 O
层 O
为 O
D O
2 O
a O
2 O
- O
1 O
b O
、 O
D O
2 O
a O
2 O
- O
2 O
。 O
﻿

当前为第26条语料，且该条语料无标注实体。
岩 O
层 O
倾 O
角 O
一 O
般 O
在 O
6 O
0 O
° O
～ O
7 O
0 O
° O
之 O
间 O
。 O
﻿

当前为第27条语料，且该条语料无标注实体。
⑵ O
断 O
裂 O
构 O
造 O
: O
区 O
内 O
断 O
裂 O
构 O
造 O
发 O
育 O
, O
近 O
E O
W O
向 O
断 O
裂 O
构 O
造 O
基 O
本 O
贯 O
穿 O
全 O
测 O
区 O
, O
起 O
着 O
导 O
矿 O
及 O
控 O
矿 O
作 O
用 O
, O
控 O
制 O
着 O
矿 O
区 O
内 O
金 O
矿 O
体 O
的 O
产 O
出 O
。 O
﻿

当前为第28条语料，且该条语料无标注实体。
此 O
外 O
, O
还 O
发 O
育 O
N O
N O
E O
向 O
断 O
裂 O
构 O
造 O
, O
对 O
矿 O
体 O
起 O
破 O
坏 O
作 O
用 O
。 O
﻿

当前为第29条语料，且该条语料无标注实体。
E O
W O
向 O
断 O
裂 O
破 O
碎 O
带 O
( O
F O
1 O
、 O
F O
2 O
、 O
F O
3 O
) O
: O
破 O
碎 O
带 O
分 O
布 O
于 O
矿 O
区 O
中 O
部 O
, O
均 O
由 O
层 O
间 O
滑 O
动 O
而 O
形 O
成 O
, O
其 O
总 O
体 O
产 O
状 O
与 O
地 O
层 O
基 O
本 O
一 O
致 O
。 O
﻿

当前为第30条语料，且该条语料无标注实体。
F O
1 O
、 O
F O
2 O
、 O
F O
3 O
在 O
空 O
间 O
上 O
大 O
致 O
等 O
距 O
, O
平 O
行 O
展 O
布 O
。 O
﻿

当前为第31条语料，且该条语料无标注实体。
其 O
共 O
同 O
特 O
征 O
为 O
: O
破 O
碎 O
带 O
破 O
碎 O
强 O
烈 O
, O
断 O
层 O
角 O
砾 O
发 O
育 O
, O
并 O
伴 O
有 O
断 O
层 O
泥 O
, O
碎 O
裂 O
岩 O
出 O
现 O
。 O
﻿

当前为第32条语料，且该条语料无标注实体。
角 O
砾 O
岩 O
角 O
砾 O
大 O
小 O
均 O
匀 O
, O
具 O
明 O
显 O
定 O
向 O
排 O
列 O
, O
多 O
与 O
主 O
断 O
层 O
面 O
平 O
行 O
。 O
﻿

当前为第33条语料，且该条语料无标注实体。
角 O
砾 O
大 O
都 O
呈 O
棱 O
角 O
状 O
- O
次 O
棱 O
角 O
状 O
, O
被 O
方 O
解 O
石 O
、 O
褐 O
铁 O
矿 O
及 O
岩 O
屑 O
等 O
胶 O
结 O
, O
后 O
期 O
又 O
被 O
破 O
碎 O
且 O
呈 O
松 O
散 O
状 O
, O
表 O
明 O
构 O
造 O
活 O
动 O
具 O
多 O
期 O
次 O
多 O
阶 O
段 O
性 O
。 O
﻿

当前为第34条语料，且该条语料无标注实体。
破 O
碎 O
带 O
总 O
体 O
走 O
向 O
均 O
为 O
7 O
0 O
° O
～ O
8 O
0 O
° O
。 O
﻿

当前为第35条语料，且该条语料无标注实体。
其 O
规 O
模 O
及 O
特 O
征 O
分 O
别 O
为 O
: O
F O
1 O
: O
长 O
约 O
4 O
0 O
0 O
m O
, O
宽 O
约 O
1 O
5 O
～ O
2 O
0 O
m O
。 O
﻿

当前为第36条语料，且该条语料无标注实体。
控 O
制 O
A O
u O
1 O
、 O
A O
u O
2 O
的 O
产 O
出 O
。 O
﻿

当前为第37条语料，且该条语料无标注实体。
破 O
碎 O
带 O
中 O
岩 O
石 O
普 O
遍 O
发 O
育 O
褐 O
铁 O
矿 O
化 O
、 O
黄 O
铁 O
矿 O
化 O
。 O
﻿

当前为第38条语料，且该条语料无标注实体。
F O
2 O
: O
长 O
约 O
3 O
5 O
0 O
m O
, O
宽 O
约 O
1 O
2 O
～ O
1 O
8 O
m O
。 O
﻿

当前为第39条语料，且该条语料无标注实体。
控 O
制 O
A O
u O
3 O
、 O
A O
u O
4 O
的 O
产 O
出 O
。 O
﻿

当前为第40条语料，且该条语料无标注实体。
破 O
碎 O
带 O
顺 O
层 O
产 O
出 O
于 O
钙 O
砂 O
岩 O
中 O
, O
岩 O
石 O
中 O
石 O
英 O
细 O
( O
网 O
) O
脉 O
发 O
育 O
。 O
﻿

当前为第41条语料，且该条语料无标注实体。
F O
3 O
: O
长 O
约 O
4 O
0 O
0 O
m O
, O
宽 O
约 O
2 O
0 O
～ O
2 O
5 O
m O
。 O
﻿

当前为第42条语料，且该条语料无标注实体。
控 O
制 O
A O
u O
6 O
、 O
A O
u O
7 O
的 O
产 O
出 O
。 O
﻿

当前为第43条语料，且该条语料无标注实体。
破 O
碎 O
带 O
中 O
石 O
英 O
细 O
脉 O
较 O
发 O
育 O
, O
褐 O
铁 O
矿 O
化 O
强 O
烈 O
。 O
﻿

当前为第44条语料，且该条语料无标注实体。
N O
N O
E O
向 O
构 O
造 O
F O
4 O
: O
以 O
平 O
推 O
逆 O
断 O
层 O
形 O
式 O
产 O
出 O
, O
断 O
层 O
面 O
较 O
平 O
直 O
, O
产 O
状 O
1 O
3 O
3 O
° O
∠ O
7 O
9 O
° O
。 O
﻿

当前为第45条语料，且该条语料无标注实体。
为 O
成 O
矿 O
期 O
后 O
断 O
裂 O
, O
对 O
矿 O
体 O
起 O
破 O
坏 O
作 O
用 O
。 O
﻿

当前为第46条语料，且该条语料无标注实体。
如 O
A O
u O
3 O
、 O
A O
u O
6 O
均 O
被 O
F O
4 O
错 O
断 O
。 O
﻿

当前为第47条语料，且该条语料无标注实体。
区 O
内 O
变 O
质 O
作 O
用 O
较 O
强 O
, O
以 O
热 O
变 O
质 O
为 O
主 O
, O
区 O
域 O
变 O
质 O
为 O
辅 O
。 O
﻿

当前为第48条语料，且该条语料无标注实体。
区 O
内 O
挤 O
压 O
和 O
扭 O
动 O
构 O
造 O
的 O
发 O
育 O
地 O
段 O
, O
碎 O
裂 O
岩 O
化 O
、 O
角 O
砾 O
岩 O
化 O
、 O
断 O
层 O
泥 O
都 O
很 O
发 O
育 O
。 O
﻿

当前为第49条语料，且该条语料无标注实体。
由 O
变 O
质 O
作 O
用 O
所 O
产 O
生 O
的 O
变 O
质 O
热 O
液 O
对 O
金 O
的 O
活 O
化 O
、 O
迁 O
移 O
、 O
富 O
集 O
成 O
矿 O
起 O
了 O
重 O
要 O
作 O
用 O
。 O
﻿

当前为第50条语料。
小 B-LOC
东 I-LOC
沟 I-LOC
金 B-MT
矿 I-MT
床 I-MT
受 O
断 O
裂 O
破 O
碎 O
带 O
( O
F O
1 O
、 O
F O
2 O
、 O
F O
3 O
) O
的 O
严 O
格 O
控 O
制 O
。 O
矿 O
区 O
内 O
共 O
圈 O
出 O
的 O
7 O
个 O
金 B-MT
矿 I-MT
体 I-MT
, O
均 O
赋 O
存 O
于 O
F O
1 O
、 O
F O
2 O
、 O
F O
3 O
内 O
。 O
矿 O
体 O
形 O
态 O
多 O
呈 O
层 O
状 O
、 O
似 O
层 O
状 O
、 O
透 O
镜 O
状 O
及 O
鞍 O
状 O
、 O
沿 O
延 O
伸 O
方 O
向 O
有 O
膨 O
缩 O
现 O
象 O
。 O
﻿

当前为第51条语料，且该条语料无标注实体。
矿 O
体 O
与 O
围 O
岩 O
界 O
线 O
较 O
清 O
楚 O
。 O
﻿

当前为第52条语料，且该条语料无标注实体。
A O
u O
1 O
、 O
A O
u O
3 O
为 O
主 O
矿 O
体 O
, O
现 O
分 O
述 O
如 O
下 O
: O
A O
u O
1 O
: O
矿 O
体 O
长 O
大 O
于 O
1 O
0 O
0 O
m O
, O
厚 O
2 O
～ O
3 O
m O
, O
倾 O
斜 O
延 O
深 O
5 O
0 O
～ O
1 O
0 O
0 O
m O
。 O
﻿

当前为第53条语料。
矿 O
体 O
呈 O
似 O
层 O
状 O
赋 O
存 O
于 O
F O
1 O
断 O
裂 O
破 O
碎 O
带 O
中 O
。 O
﻿

当前为第54条语料。
矿 O
体 O
产 O
状 O
1 B-GO
6 I-GO
0 I-GO
° I-GO
～ I-GO
1 I-GO
7 I-GO
5 I-GO
° I-GO
∠ I-GO
6 I-GO
8 I-GO
° I-GO
。 O
﻿

当前为第55条语料，且该条语料无标注实体。
金 O
平 O
均 O
品 O
位 O
4 O
. O
9 O
0 O
g O
/ O
t O
, O
最 O
高 O
达 O
9 O
. O
0 O
g O
/ O
t O
。 O
﻿

当前为第56条语料，且该条语料无标注实体。
A O
u O
3 O
: O
矿 O
体 O
长 O
约 O
2 O
5 O
0 O
m O
, O
厚 O
1 O
～ O
7 O
m O
, O
倾 O
斜 O
延 O
深 O
1 O
0 O
0 O
～ O
1 O
5 O
0 O
m O
。 O
﻿

当前为第57条语料。
矿 O
体 O
呈 O
层 O
状 O
、 O
似 O
层 O
状 O
赋 O
存 O
于 O
F O
2 O
断 O
裂 O
破 O
碎 O
带 O
中 O
。 O
﻿

当前为第58条语料。
矿 O
体 O
产 O
状 O
1 B-GO
6 I-GO
5 I-GO
° I-GO
∠ I-GO
6 I-GO
4 I-GO
° I-GO
。 O
﻿

当前为第59条语料，且该条语料无标注实体。
金 O
平 O
均 O
品 O
位 O
3 O
. O
6 O
g O
/ O
t O
。 O
﻿

当前为第60条语料，且该条语料无标注实体。
该 O
矿 O
体 O
被 O
期 O
后 O
平 O
推 O
逆 O
断 O
层 O
F O
4 O
错 O
断 O
, O
断 O
距 O
约 O
1 O
0 O
～ O
1 O
5 O
m O
。 O
﻿

当前为第61条语料，且该条语料无标注实体。
矿 O
区 O
内 O
金 O
矿 O
体 O
氧 O
化 O
深 O
度 O
大 O
于 O
1 O
1 O
m O
, O
金 O
品 O
位 O
在 O
垂 O
向 O
上 O
自 O
上 O
而 O
下 O
呈 O
变 O
富 O
趋 O
势 O
。 O
﻿

当前为第62条语料，且该条语料无标注实体。
根 O
据 O
容 O
矿 O
岩 O
石 O
的 O
性 O
质 O
, O
将 O
矿 O
石 O
的 O
自 O
然 O
类 O
型 O
分 O
为 O
两 O
类 O
: O
⑴ O
蚀 O
变 O
岩 O
型 O
金 O
矿 O
石 O
: O
容 O
矿 O
岩 O
石 O
主 O
要 O
由 O
泥 O
钙 O
质 O
、 O
粉 O
砂 O
质 O
千 O
枚 O
岩 O
的 O
蚀 O
变 O
岩 O
组 O
成 O
。 O
﻿

当前为第63条语料。
矿 O
石 O
分 O
布 O
于 O
石 O
英 O
脉 O
边 O
部 O
或 O
石 O
英 O
网 O
脉 O
之 O
间 O
。 O
矿 O
石 O
的 O
显 O
著 O
特 O
征 O
是 O
褐 O
铁 O
矿 O
化 O
、 O
绢 O
云 O
母 O
化 O
较 O
强 O
, O
黄 O
铁 O
矿 O
呈 O
星 O
点 O
状 O
分 O
布 O
, O
毒 O
砂 O
呈 O
大 O
斑 O
点 O
状 O
分 O
布 O
。 O
该 O
类 O
矿 O
石 O
品 O
位 O
较 O
高 O
, O
为 O
小 B-LOC
东 I-LOC
沟 I-LOC
金 B-MT
矿 I-MT
的 O
主 O
要 O
矿 O
石 O
类 O
型 O
。 O
﻿

当前为第64条语料。
⑵ O
石 O
英 O
脉 O
型 O
金 O
矿 O
石 O
: O
矿 O
石 O
内 O
石 O
英 O
脉 O
以 O
细 O
( O
网 O
) O
脉 O
为 O
主 O
。 O
常 O
见 O
黄 O
铁 O
矿 O
、 O
毒 O
砂 O
等 O
金 O
属 O
矿 O
物 O
呈 O
星 O
点 O
状 O
分 O
布 O
, O
偶 O
见 O
中 O
- O
细 O
粒 O
自 O
然 O
金 O
。 O
该 O
类 O
矿 O
石 O
金 O
品 O
位 O
变 O
化 O
较 O
大 O
, O
为 O
小 B-LOC
东 I-LOC
沟 I-LOC
金 B-MT
矿 I-MT
的 O
次 O
要 O
矿 O
石 O
类 O
型 O
。 O
﻿

当前为第65条语料，且该条语料无标注实体。
矿 O
石 O
中 O
矿 O
物 O
组 O
成 O
简 O
单 O
, O
金 O
属 O
矿 O
物 O
主 O
要 O
有 O
黄 O
铁 O
矿 O
、 O
褐 O
铁 O
矿 O
, O
少 O
量 O
毒 O
砂 O
及 O
微 O
量 O
黄 O
铜 O
矿 O
、 O
自 O
然 O
金 O
等 O
。 O
﻿

当前为第66条语料，且该条语料无标注实体。
非 O
金 O
属 O
矿 O
物 O
主 O
要 O
有 O
石 O
英 O
、 O
方 O
解 O
石 O
、 O
绢 O
云 O
母 O
、 O
绿 O
泥 O
石 O
等 O
。 O
﻿

当前为第67条语料，且该条语料无标注实体。
矿 O
石 O
结 O
构 O
以 O
半 O
自 O
形 O
- O
他 O
形 O
结 O
构 O
为 O
主 O
, O
其 O
他 O
有 O
交 O
代 O
溶 O
蚀 O
结 O
构 O
、 O
充 O
填 O
结 O
构 O
、 O
压 O
碎 O
结 O
构 O
等 O
。 O
﻿

当前为第68条语料，且该条语料无标注实体。
矿 O
石 O
构 O
造 O
主 O
要 O
有 O
块 O
状 O
构 O
造 O
、 O
浸 O
染 O
状 O
构 O
造 O
、 O
细 O
脉 O
- O
网 O
脉 O
状 O
构 O
造 O
、 O
蜂 O
窝 O
状 O
构 O
造 O
等 O
。 O
﻿

当前为第69条语料，且该条语料无标注实体。
金 O
的 O
存 O
在 O
形 O
式 O
为 O
含 O
银 O
自 O
然 O
金 O
。 O
﻿

当前为第70条语料，且该条语料无标注实体。
主 O
要 O
载 O
金 O
矿 O
物 O
为 O
黄 O
铁 O
矿 O
、 O
褐 O
铁 O
矿 O
、 O
石 O
英 O
。 O
﻿

当前为第71条语料，且该条语料无标注实体。
自 O
然 O
金 O
呈 O
金 O
黄 O
色 O
, O
形 O
态 O
多 O
呈 O
树 O
枝 O
状 O
、 O
角 O
粒 O
状 O
、 O
片 O
状 O
, O
粒 O
度 O
细 O
小 O
, O
最 O
大 O
线 O
径 O
3 O
5 O
6 O
μ O
m O
, O
最 O
小 O
为 O
3 O
μ O
m O
, O
以 O
8 O
2 O
～ O
2 O
3 O
4 O
μ O
m O
为 O
主 O
。 O
﻿

当前为第72条语料，且该条语料无标注实体。
金 O
的 O
嵌 O
布 O
形 O
式 O
主 O
要 O
有 O
两 O
种 O
: O
一 O
种 O
沿 O
载 O
金 O
矿 O
物 O
的 O
微 O
裂 O
隙 O
分 O
布 O
, O
以 O
树 O
枝 O
状 O
为 O
主 O
, O
约 O
占 O
6 O
7 O
% O
。 O
﻿

当前为第73条语料，且该条语料无标注实体。
一 O
种 O
在 O
载 O
金 O
矿 O
物 O
的 O
间 O
隙 O
中 O
分 O
布 O
, O
以 O
角 O
砾 O
状 O
为 O
主 O
, O
约 O
占 O
3 O
1 O
% O
。 O
﻿

当前为第74条语料，且该条语料无标注实体。
而 O
呈 O
包 O
裹 O
金 O
的 O
很 O
少 O
。 O
﻿

当前为第75条语料，且该条语料无标注实体。
近 O
矿 O
围 O
岩 O
蚀 O
变 O
严 O
格 O
受 O
断 O
裂 O
破 O
碎 O
带 O
控 O
制 O
, O
以 O
中 O
低 O
温 O
蚀 O
变 O
为 O
特 O
征 O
。 O
﻿

当前为第76条语料，且该条语料无标注实体。
蚀 O
变 O
与 O
矿 O
体 O
关 O
系 O
密 O
切 O
, O
一 O
般 O
褪 O
色 O
带 O
本 O
身 O
就 O
是 O
金 O
矿 O
体 O
, O
其 O
发 O
育 O
程 O
度 O
与 O
矿 O
化 O
呈 O
正 O
相 O
关 O
关 O
系 O
。 O
﻿

当前为第77条语料，且该条语料无标注实体。
主 O
要 O
的 O
蚀 O
变 O
类 O
型 O
有 O
硅 O
化 O
、 O
黄 O
铁 O
矿 O
化 O
、 O
褐 O
铁 O
矿 O
化 O
、 O
碳 O
酸 O
盐 O
化 O
、 O
绢 O
云 O
母 O
化 O
等 O
。 O
﻿

当前为第78条语料，且该条语料无标注实体。
⑴ O
硅 O
化 O
是 O
区 O
内 O
较 O
普 O
遍 O
的 O
岩 O
石 O
蚀 O
变 O
之 O
一 O
, O
主 O
要 O
表 O
现 O
形 O
式 O
有 O
两 O
种 O
: O
一 O
种 O
是 O
热 O
液 O
成 O
矿 O
早 O
期 O
阶 O
段 O
, O
硅 O
质 O
沿 O
围 O
岩 O
和 O
矿 O
物 O
间 O
隙 O
渗 O
透 O
交 O
代 O
, O
使 O
围 O
岩 O
S O
i O
O O
2 O
组 O
分 O
增 O
高 O
形 O
成 O
以 O
微 O
晶 O
石 O
英 O
为 O
主 O
的 O
硅 O
化 O
蚀 O
变 O
岩 O
石 O
, O
是 O
矿 O
床 O
的 O
主 O
要 O
蚀 O
变 O
作 O
用 O
。 O
﻿

当前为第79条语料，且该条语料无标注实体。
另 O
一 O
种 O
为 O
常 O
见 O
的 O
S O
i O
O O
2 O
以 O
石 O
英 O
细 O
( O
网 O
) O
脉 O
的 O
形 O
式 O
充 O
填 O
于 O
构 O
造 O
裂 O
隙 O
中 O
。 O
﻿

当前为第80条语料，且该条语料无标注实体。
硅 O
化 O
与 O
金 O
矿 O
化 O
关 O
系 O
密 O
切 O
。 O
﻿

当前为第81条语料，且该条语料无标注实体。
⑵ O
黄 O
铁 O
矿 O
多 O
呈 O
星 O
点 O
状 O
或 O
粒 O
状 O
及 O
细 O
脉 O
状 O
分 O
布 O
于 O
石 O
英 O
脉 O
边 O
部 O
或 O
蚀 O
变 O
岩 O
中 O
。 O
﻿

当前为第82条语料，且该条语料无标注实体。
并 O
主 O
要 O
以 O
立 O
方 O
体 O
、 O
五 O
角 O
十 O
二 O
面 O
体 O
、 O
菱 O
形 O
八 O
面 O
体 O
形 O
式 O
分 O
布 O
, O
有 O
时 O
呈 O
脉 O
状 O
或 O
集 O
合 O
体 O
状 O
产 O
出 O
。 O
﻿

当前为第83条语料，且该条语料无标注实体。
黄 O
铁 O
矿 O
的 O
形 O
成 O
可 O
分 O
为 O
两 O
个 O
期 O
次 O
: O
Ⅰ O
期 O
以 O
立 O
方 O
体 O
为 O
主 O
, O
多 O
呈 O
星 O
点 O
状 O
分 O
布 O
于 O
岩 O
矿 O
石 O
中 O
, O
与 O
金 O
矿 O
化 O
关 O
系 O
不 O
明 O
显 O
。 O
﻿

当前为第84条语料，且该条语料无标注实体。
Ⅱ O
期 O
以 O
五 O
角 O
十 O
二 O
面 O
体 O
、 O
菱 O
形 O
八 O
面 O
体 O
为 O
主 O
, O
并 O
具 O
压 O
碎 O
结 O
构 O
和 O
微 O
裂 O
隙 O
, O
表 O
面 O
具 O
溶 O
蚀 O
现 O
象 O
, O
在 O
微 O
裂 O
隙 O
中 O
有 O
自 O
然 O
金 O
分 O
布 O
, O
该 O
期 O
黄 O
铁 O
矿 O
与 O
金 O
矿 O
化 O
关 O
系 O
密 O
切 O
。 O
﻿

当前为第85条语料，且该条语料无标注实体。
⑶ O
褐 O
铁 O
矿 O
化 O
也 O
是 O
主 O
要 O
的 O
成 O
矿 O
蚀 O
变 O
之 O
一 O
, O
蚀 O
变 O
形 O
式 O
以 O
胶 O
状 O
、 O
微 O
粒 O
浸 O
染 O
状 O
交 O
代 O
为 O
主 O
, O
少 O
量 O
呈 O
细 O
脉 O
状 O
充 O
填 O
裂 O
隙 O
。 O
﻿

当前为第86条语料，且该条语料无标注实体。
⑷ O
碳 O
酸 O
盐 O
化 O
: O
成 O
矿 O
期 O
碳 O
酸 O
盐 O
化 O
以 O
胶 O
状 O
、 O
微 O
粒 O
状 O
交 O
代 O
形 O
式 O
出 O
现 O
, O
常 O
与 O
硅 O
化 O
、 O
褐 O
铁 O
矿 O
化 O
相 O
伴 O
, O
但 O
不 O
发 O
育 O
。 O
﻿

当前为第87条语料，且该条语料无标注实体。
成 O
矿 O
后 O
碳 O
酸 O
盐 O
化 O
呈 O
脉 O
状 O
或 O
巨 O
晶 O
方 O
解 O
石 O
穿 O
插 O
矿 O
体 O
或 O
为 O
角 O
砾 O
状 O
矿 O
石 O
的 O
胶 O
