当前为第1条语料。
广 B-MB
带 O
普 O
遍 O
等 O
特 O
征 O
。 O
﻿

当前为第13条语料，且该条语料无标注实体。
区 O
域 O
深 O
断 O
裂 O
F O
1 O
、 O
F O
2 O
与 O
其 O
次 O
级 O
N O
N O
E O
向 O
、 O
近 O
N O
S O
向 O
区 O
域 O
断 O
裂 O
F O
3 O
— O
F O
9 O
及 O
更 O
次 O
级 O
N O
E O
、 O
N O
W O
、 O
N O
E O
E O
向 O
剪 O
切 O
断 O
裂 O
构 O
成 O
统 O
一 O
的 O
“ O
面 O
状 O
” O
透 O
入 O
性 O
构 O
造 O
带 O
。 O
﻿

当前为第14条语料，且该条语料无标注实体。
褶 O
皱 O
构 O
造 O
主 O
要 O
为 O
N O
N O
E O
向 O
紧 O
闭 O
背 O
斜 O
, O
如 O
平 O
等 O
背 O
斜 O
、 O
龙 O
胜 O
背 O
斜 O
、 O
马 O
海 O
背 O
斜 O
。 O
﻿

当前为第15条语料。
背 O
斜 O
核 O
部 O
为 O
丹 O
洲 O
群 O
, O
两 O
翼 O
为 O
震 O
旦 O
系 O
、 O
寒 O
武 O
系 O
。 O
﻿

当前为第16条语料，且该条语料无标注实体。
区 O
内 O
岩 O
浆 O
岩 O
主 O
要 O
为 O
雪 O
峰 O
期 O
基 O
性 O
— O
超 O
基 O
性 O
火 O
山 O
杂 O
岩 O
及 O
伴 O
生 O
的 O
有 O
成 O
因 O
联 O
系 O
的 O
基 O
性 O
— O
超 O
基 O
性 O
、 O
长 O
英 O
质 O
岩 O
脉 O
( O
体 O
) O
, O
后 O
者 O
主 O
要 O
分 O
布 O
在 O
龙 O
胜 O
、 O
三 O
门 O
一 O
带 O
。 O
﻿

当前为第17条语料。
岩 O
性 O
主 O
要 O
有 O
基 O
性 O
熔 O
岩 O
、 O
凝 O
灰 O
岩 O
、 O
角 O
砾 O
熔 O
岩 O
和 O
辉 O
绿 O
岩 O
、 O
辉 O
长 O
岩 O
、 O
辉 O
橄 O
岩 O
等 O
, O
火 O
山 O
杂 O
岩 O
呈 O
层 O
状 O
、 O
似 O
层 O
状 O
、 O
透 O
镜 O
状 O
顺 O
层 O
产 O
出 O
。 O
﻿

当前为第18条语料。
在 O
龙 O
胜 O
背 O
斜 O
北 O
部 O
出 O
露 O
有 O
印 O
支 O
期 O
花 O
岗 O
岩 O
体 O
( O
五 O
团 O
岩 O
体 O
) O
, O
其 O
锆 O
石 O
U O
— O
P O
b O
法 O
同 O
位 O
素 O
年 O
龄 O
为 O
1 O
9 O
5 O
M O
a O
。 O
[ O
2 O
] O
另 O
外 O
在 O
马 O
海 O
地 O
区 O
物 O
探 O
推 O
断 O
可 O
能 O
有 O
隐 O
伏 O
花 O
岗 O
岩 O
体 O
。 O
该 O
区 O
已 O
发 O
现 O
的 O
金 O
矿 O
点 O
( O
床 O
) O
众 O
多 O
, O
除 O
分 B-LOC
水 I-LOC
坳 I-LOC
、 O
福 B-LOC
平 I-LOC
包 I-LOC
、 O
潘 B-LOC
内 I-LOC
为 O
小 B-SCA
型 I-SCA
矿 O
床 O
外 O
, O
其 O
余 O
均 O
为 O
矿 O
点 O
、 O
矿 O
化 O
点 O
, O
受 O
区 O
域 O
深 O
断 O
裂 O
及 O
旁 O
侧 O
次 O
级 O
区 O
域 O
断 O
裂 O
控 O
制 O
, O
成 O
群 O
成 O
带 O
分 O
布 O
。 O
﻿

当前为第19条语料，且该条语料无标注实体。
有 O
两 O
个 O
金 O
矿 O
集 O
中 O
分 O
布 O
的 O
区 O
带 O
, O
西 O
部 O
固 O
洞 O
— O
平 O
等 O
金 O
矿 O
带 O
受 O
区 O
域 O
深 O
断 O
裂 O
F O
1 O
及 O
西 O
侧 O
次 O
级 O
区 O
域 O
断 O
裂 O
F O
3 O
控 O
制 O
, O
东 O
部 O
福 O
平 O
包 O
— O
马 O
海 O
金 O
矿 O
带 O
受 O
区 O
域 O
深 O
断 O
裂 O
F O
2 O
及 O
东 O
侧 O
次 O
级 O
区 O
域 O
断 O
裂 O
F O
7 O
、 O
F O
8 O
控 O
制 O
。 O
﻿

当前为第20条语料，且该条语料无标注实体。
按 O
成 O
矿 O
地 O
质 O
环 O
境 O
和 O
主 O
要 O
成 O
矿 O
作 O
用 O
划 O
分 O
, O
该 O
区 O
金 O
矿 O
属 O
于 O
脆 O
— O
韧 O
性 O
剪 O
切 O
绿 O
岩 O
型 O
。 O
﻿

当前为第21条语料，且该条语料无标注实体。
其 O
矿 O
化 O
类 O
型 O
可 O
分 O
为 O
石 O
英 O
脉 O
型 O
和 O
构 O
造 O
蚀 O
变 O
岩 O
型 O
两 O
类 O
, O
前 O
者 O
可 O
进 O
一 O
步 O
分 O
为 O
细 O
网 O
脉 O
型 O
、 O
石 O
英 O
( O
细 O
) O
脉 O
带 O
型 O
、 O
单 O
石 O
英 O
脉 O
型 O
、 O
碎 O
裂 O
不 O
规 O
则 O
石 O
英 O
脉 O
型 O
。 O
﻿

当前为第22条语料，且该条语料无标注实体。
后 O
者 O
分 O
为 O
细 O
碎 O
屑 O
岩 O
质 O
构 O
造 O
蚀 O
变 O
岩 O
型 O
、 O
碳 O
硅 O
质 O
构 O
造 O
蚀 O
变 O
岩 O
型 O
、 O
基 O
性 O
— O
超 O
基 O
性 O
岩 O
质 O
构 O
造 O
蚀 O
变 O
岩 O
型 O
。 O
﻿

当前为第23条语料，且该条语料无标注实体。
含 O
金 O
石 O
英 O
脉 O
产 O
在 O
脆 O
性 O
剪 O
切 O
断 O
裂 O
、 O
裂 O
隙 O
中 O
, O
与 O
围 O
岩 O
界 O
限 O
分 O
明 O
, O
围 O
岩 O
蚀 O
变 O
弱 O
, O
金 O
仅 O
分 O
布 O
于 O
石 O
英 O
脉 O
内 O
, O
围 O
岩 O
一 O
般 O
不 O
含 O
金 O
。 O
﻿

当前为第24条语料，且该条语料无标注实体。
矿 O
石 O
矿 O
物 O
组 O
合 O
简 O
单 O
, O
金 O
属 O
矿 O
物 O
少 O
, O
一 O
般 O
< O
5 O
% O
, O
主 O
要 O
为 O
黄 O
铁 O
矿 O
, O
少 O
量 O
黄 O
铜 O
矿 O
、 O
方 O
铅 O
矿 O
、 O
闪 O
锌 O
矿 O
, O
非 O
金 O
属 O
矿 O
物 O
石 O
英 O
占 O
9 O
5 O
% O
以 O
上 O
, O
少 O
量 O
绿 O
泥 O
石 O
、 O
绢 O
云 O
母 O
、 O
碳 O
酸 O
盐 O
等 O
, O
金 O
以 O
自 O
然 O
金 O
分 O
布 O
在 O
石 O
英 O
、 O
金 O
属 O
硫 O
化 O
物 O
中 O
( O
间 O
) O
。 O
﻿

当前为第25条语料，且该条语料无标注实体。
该 O
类 O
金 O
矿 O
具 O
富 O
、 O
小 O
、 O
散 O
特 O
征 O
, O
富 O
— O
— O
金 O
品 O
位 O
一 O
般 O
5 O
× O
1 O
0 O
- O
6 O
～ O
2 O
0 O
× O
1 O
0 O
- O
6 O
( O
高 O
达 O
3 O
0 O
0 O
× O
1 O
0 O
- O
6 O
以 O
上 O
) O
。 O
﻿

当前为第26条语料，且该条语料无标注实体。
小 O
— O
— O
规 O
模 O
小 O
, O
一 O
般 O
为 O
矿 O
点 O
, O
少 O
数 O
达 O
小 O
型 O
。 O
﻿

当前为第27条语料，且该条语料无标注实体。
散 O
— O
— O
矿 O
化 O
连 O
续 O
性 O
差 O
。 O
﻿

当前为第28条语料。
该 O
类 O
不 O
规 O
则 O
状 O
破 O
碎 O
石 O
英 O
脉 O
一 O
般 O
产 O
于 O
构 O
造 O
蚀 O
变 O
破 O
碎 O
带 O
, O
在 O
石 O
英 O
脉 O
发 O
生 O
较 O
强 O
的 O
破 O
碎 O
和 O
挤 O
压 O
变 O
形 O
的 O
矿 O
段 O
, O
金 O
属 O
硫 O
化 O
物 O
矿 O
化 O
增 O
强 O
, O
组 O
分 O
变 O
复 O
杂 O
, O
并 O
具 O
较 O
强 O
的 O
蚀 O
变 O
作 O
用 O
, O
主 O
要 O
有 O
硅 B-MA
化 I-MA
、 O
绿 B-MA
泥 I-MA
石 I-MA
化 I-MA
, O
金 B-MA
矿 I-MA
化 I-MA
较 O
连 O
续 O
稳 O
定 O
。 O
﻿

当前为第29条语料。
构 O
造 O
蚀 O
变 O
岩 O
型 O
金 O
矿 O
产 O
于 O
脆 O
— O
韧 O
性 O
剪 O
切 O
断 O
裂 O
( O
带 O
) O
中 O
, O
金 O
矿 O
化 O
主 O
要 O
富 O
集 O
在 O
断 O
裂 O
带 O
内 O
强 O
硅 B-MA
化 I-MA
、 O
黄 B-MA
铁 I-MA
矿 I-MA
化 I-MA
的 O
蚀 O
变 O
岩 O
内 O
, O
蚀 O
变 O
原 O
岩 O
主 O
要 O
为 O
泥 O
质 O
岩 O
、 O
泥 O
质 O
粉 O
砂 O
岩 O
、 O
含 O
碳 O
质 O
泥 O
岩 O
等 O
。 O
﻿

当前为第30条语料。
断 O
裂 O
( O
带 O
) O
发 O
生 O
明 O
显 O
挤 O
压 O
、 O
剪 O
切 O
变 O
形 O
, O
如 O
劈 O
理 O
、 O
片 O
理 O
、 O
柔 O
皱 O
变 O
形 O
普 O
遍 O
发 O
育 O
, O
金 O
矿 O
化 O
连 O
续 O
、 O
规 O
模 O
较 O
大 O
, O
一 O
般 O
长 O
1 O
～ O
3 O
k O
m O
, O
宽 O
3 O
～ O
2 O
0 O
m O
, O
金 O
品 O
位 O
一 O
般 O
0 O
. O
5 O
× O
1 O
0 O
- O
6 O
～ O
2 O
0 O
× O
1 O
0 O
- O
6 O
, O
矿 O
化 O
蚀 O
变 O
发 O
育 O
, O
主 O
要 O
有 O
硅 B-MA
化 I-MA
、 O
黄 B-MA
铁 I-MA
矿 I-MA
化 I-MA
、 O
绿 B-MA
泥 I-MA
石 I-MA
化 I-MA
, O
次 O
为 O
碳 B-MA
酸 I-MA
盐 I-MA
化 I-MA
、 O
绢 B-MA
云 I-MA
母 I-MA
化 I-MA
等 O
, O
金 O
的 O
矿 O
化 O
富 O
集 O
与 O
硅 O
化 O
、 O
黄 O
铁 O
矿 O
化 O
密 O
切 O
相 O
关 O
。 O
﻿

当前为第31条语料，且该条语料无标注实体。
不 O
同 O
矿 O
化 O
类 O
型 O
不 O
是 O
孤 O
立 O
的 O
, O
而 O
是 O
同 O
一 O
成 O
矿 O
作 O
用 O
下 O
不 O
同 O
赋 O
矿 O
地 O
质 O
环 O
境 O
的 O
产 O
物 O
。 O
﻿

当前为第32条语料，且该条语料无标注实体。
含 O
金 O
石 O
英 O
脉 O
型 O
一 O
般 O
赋 O
存 O
在 O
脆 O
性 O
断 O
裂 O
、 O
裂 O
隙 O
中 O
, O
断 O
裂 O
力 O
学 O
性 O
质 O
主 O
要 O
为 O
张 O
性 O
、 O
剪 O
性 O
, O
前 O
者 O
主 O
要 O
为 O
含 O
金 O
石 O
英 O
单 O
脉 O
型 O
矿 O
化 O
, O
后 O
者 O
主 O
要 O
为 O
含 O
金 O
石 O
英 O
网 O
脉 O
型 O
、 O
平 O
行 O
脉 O
带 O
型 O
矿 O
化 O
。 O
﻿

当前为第33条语料，且该条语料无标注实体。
构 O
造 O
蚀 O
变 O
岩 O
型 O
主 O
要 O
赋 O
存 O
于 O
脆 O
- O
韧 O
性 O
剪 O
切 O
断 O
裂 O
带 O
内 O
。 O
﻿

当前为第34条语料。
不 O
同 O
矿 O
化 O
类 O
型 O
从 O
浅 O
部 O
至 O
深 O
部 O
有 O
石 O
英 O
脉 O
型 O
- O
破 O
碎 O
石 O
英 O
脉 O
型 O
- O
蚀 O
变 O
岩 O
型 O
的 O
矿 O
化 O
分 O
带 O
特 O
征 O
。 O
如 O
分 B-LOC
水 I-LOC
坳 I-LOC
地 O
表 O
浅 O
部 O
主 O
要 O
为 O
含 O
金 O
石 O
英 O
脉 O
型 O
, O
深 O
部 O
则 O
变 O
成 O
含 O
金 O
破 O
碎 O
石 O
英 O
脉 O
型 O
( O
此 O
类 O
可 O
认 O
为 O
是 O
与 O
构 O
造 O
蚀 O
变 O
岩 O
型 O
之 O
间 O
的 O
过 O
渡 O
类 O
型 O
) O
。 O
福 O
平 O
包 O
矿 O
床 O
有 O
石 O
英 O
网 O
脉 O
型 O
、 O
石 O
英 O
脉 O
型 O
、 O
蚀 O
变 O
岩 O
型 O
等 O
多 O
种 O
类 O
型 O
金 O
矿 O
化 O
[ O
3 O
] O
。 O
﻿

当前为第35条语料。
如 O
前 O
述 O
, O
该 O
区 O
位 O
于 O
扬 O
子 O
陆 O
块 O
南 O
缘 O
与 O
华 O
南 O
褶 O
皱 O
带 O
的 O
交 O
汇 O
部 O
位 O
, O
从 O
晚 O
元 O
古 O
代 O
— O
中 O
新 O
生 O
代 O
经 O
受 O
了 O
长 O
期 O
多 O
次 O
的 O
构 O
造 O
活 O
动 O
, O
晚 O
元 O
古 O
代 O
丹 O
洲 O
期 O
的 O
陆 O
内 O
裂 O
陷 O
的 O
多 O
旋 O
回 O
基 O
性 O
— O
超 O
基 O
性 O
海 O
底 O
火 O
山 O
喷 O
发 O
及 O
伴 O
生 O
岩 O
浆 O
侵 O
入 O
活 O
动 O
, O
给 O
当 O
时 O
的 O
沟 O
- O
弧 O
环 O
境 O
沉 O
积 O
提 O
供 O
金 O
的 O
初 O
始 O
来 O
源 O
, O
形 O
成 O
金 O
的 O
原 O
始 O
富 O
集 O
层 O
。 O
﻿

当前为第36条语料。
到 O
震 O
旦 O
纪 O
边 O
缘 O
海 O
环 O
境 O
, O
沉 O
积 O
形 O
成 O
了 O
一 O
套 O
含 O
碳 O
、 O
磷 O
、 O
锰 O
的 O
碎 O
屑 O
岩 O
建 O
造 O
, O
进 O
一 O
步 O
继 O
承 O
接 O
受 O
了 O
基 O
底 O
含 O
金 O
建 O
造 O
的 O
物 O
资 O
来 O
源 O
, O
使 O
金 O
进 O
一 O
步 O
富 O
集 O
, O
形 O
成 O
了 O
晚 O
元 O
古 O
界 O
丹 O
洲 O
群 O
、 O
震 O
旦 O
系 O
金 O
的 O
原 O
始 O
矿 O
源 O
层 O
。 O
﻿

当前为第37条语料，且该条语料无标注实体。
对 O
绿 O
岩 O
带 O
地 O
层 O
含 O
金 O
丰 O
度 O
( O
× O
1 O
0 O
- O
9 O
) O
查 O
定 O
结 O
果 O
[ O
4 O
] O
: O
丹 O
洲 O
群 O
2 O
. O
9 O
6 O
( O
其 O
中 O
火 O
山 O
杂 O
岩 O
中 O
沉 O
积 O
夹 O
层 O
达 O
9 O
. O
0 O
4 O
) O
、 O
震 O
旦 O
系 O
4 O
. O
4 O
9 O
, O
均 O
高 O
出 O
陆 O
壳 O
平 O
均 O
值 O
1 O
. O
8 O
( O
S O
. O
R O
. O
T O
a O
y O
l O
o O
r O
1 O
9 O
8 O
5 O
) O
的 O
1 O
. O
5 O
～ O
2 O
. O
5 O
倍 O
。 O
﻿

当前为第38条语料。
显 O
示 O
了 O
金 O
的 O
初 O
始 O
富 O
集 O
、 O
继 O
承 O
性 O
和 O
演 O
化 O
性 O
, O
成 O
为 O
本 O
区 O
金 O
成 O
矿 O
的 O
主 O
要 O
物 O
源 O
层 O
, O
这 O
与 O
金 O
矿 O
化 O
主 O
要 O
分 O
布 O
于 O
震 O
旦 O
系 O
、 O
次 O
为 O
丹 O
洲 O
群 O
地 O
层 O
层 O
位 O
的 O
现 O
象 O
相 O
吻 O
合 O
。 O
﻿

当前为第39条语料，且该条语料无标注实体。
该 O
区 O
强 O
烈 O
的 O
构 O
造 O
活 O
动 O
是 O
金 O
成 O
矿 O
的 O
主 O
要 O
动 O
力 O
机 O
制 O
, O
以 O
区 O
域 O
深 O
断 O
裂 O
为 O
主 O
干 O
的 O
多 O
级 O
次 O
断 O
裂 O
构 O
成 O
的 O
“ O
面 O
状 O
” O
渗 O
透 O
性 O
构 O
造 O
带 O
成 O
为 O
地 O
下 O
热 O
( O
卤 O
) O
水 O
渗 O
透 O
循 O
环 O
的 O
理 O
想 O
场 O
所 O
[ O
5 O
] O
。 O
﻿

当前为第40条语料，且该条语料无标注实体。
断 O
裂 O
构 O
造 O
系 O
统 O
不 O
仅 O
是 O
矿 O
液 O
通 O
道 O
和 O
储 O
矿 O
空 O
间 O
, O
而 O
且 O
是 O
使 O
金 O
活 O
化 O
迁 O
移 O
的 O
主 O
要 O
动 O
力 O
和 O
引 O
起 O
金 O
沉 O
淀 O
富 O
集 O
的 O
主 O
要 O
因 O
素 O
。 O
﻿

当前为第41条语料。
金 O
矿 O
化 O
与 O
构 O
造 O
密 O
切 O
相 O
关 O
, O
表 O
现 O
为 O
: O
( O
1 O
) O
N O
N O
E O
向 O
区 O
域 O
深 O
断 O
裂 O
控 O
制 O
矿 O
带 O
, O
N O
N O
E O
、 O
近 O
N O
S O
向 O
区 O
域 O
断 O
裂 O
及 O
有 O
利 O
地 O
层 O
岩 O
性 O
组 O
合 O
控 O
制 O
金 O
矿 O
集 O
中 O
区 O
( O
图 O
1 O
) O
。 O
如 O
区 O
域 O
深 O
断 O
裂 O
F O
1 O
、 O
F O
2 O
控 O
制 O
东 O
、 O
西 O
两 O
条 O
金 O
矿 O
带 O
, O
次 O
级 O
区 O
域 O
断 O
裂 O
F O
3 O
、 O
F O
7 O
、 O
F O
8 O
与 O
震 O
旦 O
系 O
地 O
层 O
组 O
合 O
控 O
制 O
平 B-LOC
等 I-LOC
、 O
福 B-LOC
平 I-LOC
包 I-LOC
等 O
金 B-MT
矿 I-MT
集 I-MT
中 I-MT
区 I-MT
。 O
( O
2 O
) O
N O
N O
E O
、 O
近 O
N O
S O
向 O
区 O
域 O
断 O
裂 O
旁 O
侧 O
更 O
次 O
级 O
N O
E O
、 O
N O
E O
E O
向 O
脆 O
— O
韧 O
性 O
剪 O
切 O
断 O
裂 O
、 O
裂 O
隙 O
带 O
控 O
制 O
金 O
的 O
矿 O
化 O
富 O
集 O
和 O
矿 O
床 O
( O
点 O
) O
产 O
出 O
( O
图 O
2 O
) O
。 O
﻿

当前为第42条语料，且该条语料无标注实体。
如 O
该 O
图 O
所 O
示 O
: O
福 O
平 O
包 O
地 O
区 O
受 O
两 O
条 O
平 O
行 O
的 O
区 O
域 O
断 O
裂 O
F O
7 O
、 O
F O
8 O
的 O
剪 O
切 O
作 O
用 O
, O
在 O
其 O
夹 O
持 O
地 O
块 O
形 O
成 O
一 O
系 O
列 O
N O
E O
、 O
N O
E O
E O
向 O
次 O
级 O
的 O
脆 O
— O
韧 O
性 O
剪 O
切 O
断 O
裂 O
、 O
裂 O
隙 O
带 O
, O
并 O
控 O
制 O
金 O
的 O
矿 O
化 O
富 O
集 O
, O
形 O
成 O
分 O
水 O
坳 O
- O
潘 O
内 O
、 O
福 O
平 O
包 O
- O
田 O
头 O
寨 O
两 O
条 O
N O
E O
、 O
N O
E O
E O
向 O
矿 O
化 O
带 O
, O
其 O
向 O
南 O
在 O
龙 O
喉 O
收 O
剑 O
。 O
﻿

当前为第43条语料，且该条语料无标注实体。
在 O
矿 O
化 O
带 O
上 O
有 O
利 O
地 O
段 O
, O
矿 O
化 O
富 O
集 O
形 O
成 O
矿 O
床 O
( O
点 O
) O
, O
金 O
矿 O
体 O
也 O
受 O
断 O
裂 O
、 O
裂 O
隙 O
控 O
制 O
。 O
﻿

当前为第44条语料，且该条语料无标注实体。
该 O
区 O
所 O
处 O
的 O
地 O
质 O
构 O
造 O
环 O
境 O
发 O
育 O
由 O
一 O
系 O
列 O
多 O
级 O
次 O
断 O
裂 O
构 O
造 O
组 O
成 O
的 O
利 O
于 O
地 O
下 O
热 O
液 O
渗 O
透 O
循 O
环 O
的 O
“ O
面 O
状 O
” O
渗 O
透 O
性 O
构 O
造 O
带 O
和 O
一 O
套 O
富 O
金 O
的 O
上 O
元 O
古 O
界 O
火 O
山 O
杂 O
岩 O
— O
碎 O
屑 O
、 O
细 O
碎 O
屑 O
沉 O
积 O
建 O
造 O
, O
具 O
有 O
丰 O
富 O
的 O
金 O
的 O
成 O
矿 O
物 O
源 O
。 O
﻿

当前为第45条语料，且该条语料无标注实体。
构 O
造 O
活 O
动 O
使 O
地 O
下 O
热 O
液 O
经 O
历 O
了 O
长 O
期 O
的 O
渗 O
透 O
循 O
环 O
, O
使 O
原 O
始 O
矿 O
源 O
层 O
中 O
的 O
金 O
等 O
成 O
矿 O
物 O
质 O
活 O
化 O
、 O
迁 O
移 O
、 O
沉 O
淀 O
富 O
集 O
成 O
矿 O
。 O
﻿

当前为第46条语料，且该条语料无标注实体。
该 O
区 O
具 O
备 O
金 O
成 O
矿 O
有 O
利 O
的 O
地 O
质 O
条 O
件 O
, O
具 O
有 O
良 O
好 O
的 O
找 O
矿 O
前 O
景 O
。 O
﻿

当前为第47条语料，且该条语料无标注实体。
( O
1 O
) O
沿 O
构 O
造 O
找 O
矿 O
有 O
利 O
的 O
成 O
矿 O
构 O
造 O
为 O
N O
N O
E O
